Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
Sep-20,Total territorial authority,16960,17330,13920,80.3,14620,14940,12210,81.7,2167950,258920,279360,12.4,122670,143100,35796866700
,  Far North district,13750,14080,11730,83.3,12300,12570,10630,84.6,18750,2830,2830,15.1,1420,1420,247183000
,  Whangarei district,16070,16430,13150,80,14260,14580,11710,80.3,34450,4080,3770,11.4,1980,1670,540294700
,  Kaipara district,14420,14780,12850,86.9,13330,13640,11880,87.1,6200,960,870,14.8,560,470,86225100
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,18270,18680,14630,78.3,15320,15640,12440,79.5,768200,86310,94310,11.7,39920,47930,13711474400
,  Thames-Coromandel district,12890,13190,11450,86.8,11630,11900,9490,79.8,9130,1260,1340,14.2,650,730,114796400
,  Hauraki district,14820,15150,12990,85.7,13200,13550,11200,82.7,5500,810,650,13.4,450,280,78566600
,  Waikato district,15900,16350,13100,80.1,14530,14940,12330,82.5,18250,2640,2500,14.2,1410,1270,279418900
,  Matamata-Piako district,16020,16370,13100,80,14560,14820,13140,88.7,14240,1810,1750,12.5,940,890,221392800
,  Hamilton city,17010,17350,14260,82.2,14930,15160,12770,84.2,91350,10140,10160,11.1,4260,4280,1508971500
,  Waipa district,14930,15240,13040,85.6,13670,13870,12390,89.3,19220,2640,2490,13.4,1460,1300,276920900
,  Otorohanga district,15470,15780,14210,90.1,14980,15160,14420,95.1,3320,590,550,17.3,350,310,49127700
,  South Waikato district,15950,16310,13410,82.2,14680,14930,13300,89.1,7880,1120,890,12.9,600,380,123248400
,  Waitomo district (modified),14480,14760,13340,90.4,12840,13030,12420,95.3,3840,630,660,16.7,320,350,53665500
,  Taupo district (modified),15130,15440,13080,84.7,13560,13790,11720,85,15510,2200,2070,13.8,1100,980,227095100
,  Western Bay of Plenty district,13700,14360,11220,78.1,12450,13000,10650,81.9,17420,3880,8290,31,1870,6270,225659400
,  Tauranga city,16060,16420,13390,81.6,14110,14380,11940,83,64920,8730,9130,13.7,3960,4350,1007535100
,  Rotorua district,15480,15790,13310,84.3,13760,14010,12130,86.6,29760,3880,4220,13.5,1970,2300,448133500
,  Whakatane district (modified),14970,15220,13980,91.9,13150,13440,11420,85,13230,1860,1980,14.5,970,1090,190451200
,  Kawerau district,19060,19590,12600,64.3,17580,17840,11870,66.5,2600,250,250,9.5,110,120,49805900
,  Opotiki district,12940,13400,11080,82.7,11520,12010,9710,80.9,3130,610,990,24,340,710,38436900
,  Gisborne district,14850,15220,12440,81.7,13280,13530,11550,85.4,20100,3270,3120,16,1780,1620,284091800
,  Wairoa district,13490,13740,12200,88.8,12000,12290,10120,82.3,2490,390,470,17.2,230,310,31975600
,  Hastings district (modified),15590,15930,13180,82.7,13780,14010,11790,84.2,38310,5180,7770,16.4,2050,4640,578812200
,  Napier city,14700,15040,12080,80.3,13220,13480,11250,83.5,24740,2950,3140,12.3,1320,1510,353362400
,  Central Hawke's Bay district,14220,14590,11840,81.2,13280,13520,11450,84.7,5120,680,960,15.7,370,660,71416400
,  New Plymouth district,16410,16710,13950,83.5,14050,14290,12160,85.1,35580,4010,4070,11.3,1880,1940,570647300
,  Stratford district,14210,14520,13220,91.1,12500,12720,11710,92.1,2940,380,340,12.2,210,170,40350200
,  South Taranaki district,16640,16870,16020,95,15000,15240,14250,93.5,11560,1410,1320,11.9,780,700,187428300
,  Ruapehu district (modified),15160,15720,13650,86.8,13470,13980,11510,82.3,5680,1300,770,19.1,900,370,79525100
,  Wanganui district,14150,14540,10620,73,12800,13080,9840,75.2,17440,1980,2020,11.5,960,1000,241759900
,  Rangitikei district (modified),14030,14400,11670,81,13000,13360,9980,74.7,5020,710,830,15.2,390,500,67643800
,  Manawatu district,14430,14760,11820,80.1,13200,13440,11030,82.1,8870,1110,1140,12.7,590,610,124158400
,  Palmerston North city,16150,16550,12420,75.1,14470,14790,11200,75.7,50770,5690,5520,11.1,2520,2350,800493300
,  Tararua district,13520,13810,13150,95.2,12470,12690,12210,96.2,5320,850,730,15,490,370,68982400
,  Horowhenua district,13800,14040,12290,87.5,12500,12690,11030,86.9,9050,1040,1070,11.6,460,490,122723600
,  Kapiti Coast district,13590,13950,11170,80.1,12280,12580,10370,82.4,13180,1660,1480,12,890,710,174556700
,  Porirua city,16140,16430,13820,84.1,14410,14670,12140,82.8,18210,1980,1750,10.3,880,650,287908300
,  Upper Hutt city,16620,16980,13310,78.4,14930,15250,12490,81.9,12070,1250,1090,9.8,620,460,197181200
,  Lower Hutt city,16210,16460,13760,83.6,14350,14570,12220,83.9,44540,5160,5330,11.7,2220,2390,709219900
,  Wellington city,21250,21660,17580,81.2,18070,18460,14880,80.6,154370,15540,15210,10,6730,6390,3214431100
,  Masterton district,13820,14120,11740,83.1,12340,12600,10400,82.5,10560,1290,1260,12.1,620,590,141577300
,  Carterton district,13920,14150,12520,88.5,12880,13040,12000,92,2760,370,350,13.1,190,170,37103000
,  South Wairarapa district,12750,13240,9820,74.2,11800,12190,9250,75.9,2820,480,520,17.5,290,330,34297700
,  Tasman district,14290,14670,11400,77.7,12830,13140,10680,81.3,20370,2640,3660,15.1,1300,2330,281748500
,  Nelson city,15320,15620,13370,85.6,13590,13880,11830,85.2,26400,3250,3160,12.2,1470,1380,392843500
,  Marlborough district,15090,15420,13450,87.2,13580,13880,11550,83.2,22550,2980,3520,14.3,1470,2010,335167100
,  Kaikoura district,14350,14500,14720,101.5,12550,12600,13870,110.1,1390,210,270,16.8,90,150,19181900
,  Buller district,15440,15790,12980,82.2,13810,14150,12000,84.8,3410,440,410,12.6,230,200,51189400
,  Grey district,15890,15950,14170,88.8,14310,14330,13180,92,6360,700,710,11,300,310,99604300
,  Westland district,14970,15310,12480,81.5,14030,14390,11780,81.9,3510,460,730,16.3,210,480,51392300
,  Hurunui district,13490,13900,11150,80.2,12600,12860,10760,83.7,4870,940,760,17.9,560,380,61927400
,  Waimakariri district,13790,14080,11570,82.2,12830,13000,11280,86.8,14740,1800,1710,12,960,870,198213400
,  Christchurch city (modified),16450,16780,13590,81,14430,14690,12320,83.9,205000,22160,24470,11.3,10110,12420,3298234600
,  Selwyn district,15690,16130,12750,79.1,14630,15000,12270,81.8,18900,2690,2200,13.1,1560,1070,285887900
,  Ashburton district,15500,15820,13470,85.2,14600,14880,13300,89.4,15780,2480,2210,15,1360,1080,235006500
,  Timaru district,15660,15900,14120,88.8,14330,14550,12610,86.7,21930,2480,2740,11.9,1170,1430,338485400
,  Mackenzie district,14310,14770,12360,83.7,12500,12720,12100,95.1,1970,370,450,20.5,210,290,26990800
,  Waimate district,15640,15920,14510,91.1,15240,15370,14880,96.8,2510,400,290,14,250,140,37641100
,  Waitaki district,15110,15460,11880,76.8,13500,13890,11320,81.5,9100,1120,1460,13.9,590,940,134834000
,  Central Otago district,14310,14620,12370,84.6,13190,13460,11920,88.6,10440,1550,1710,15.5,790,940,146005600
,  Queenstown-Lakes district,14590,14920,12000,80.4,12780,13000,10710,82.4,22790,4200,4880,19.6,2460,3140,315666300
,  Dunedin city,15290,15600,12510,80.2,13570,13820,11160,80.8,56730,5880,5900,10.4,2610,2640,840639400
,  Clutha district,15320,15730,12710,80.8,14380,14800,12800,86.5,6860,1000,1310,16.5,500,820,105213500
,  Southland district,14930,15250,13750,90.2,14580,14860,13850,93.2,12260,1930,3040,19.4,990,2100,178603300
,  Gore district,13960,14210,12490,87.9,13030,13270,11350,85.5,5610,700,920,14.2,370,590,76807500
,  Invercargill city,15100,15380,12460,81,13720,13960,11490,82.3,26030,2620,2870,10.5,1130,1380,387534100
Jun-20,Total territorial authority,15570,16260,11540,71,13310,13890,10150,73.1,2188380,289380,296370,13.4,149160,156150,33464845300
,  Far North district,12730,13240,10000,75.5,11360,11760,9250,78.7,18730,2850,3090,15.7,1540,1790,231723400
,  Whangarei district,14570,15200,10830,71.3,12830,13380,9920,74.1,34140,4120,4150,12.1,2100,2130,488178900
,  Kaipara district,13460,14010,10950,78.2,12480,13000,9760,75.1,6110,870,1000,15.2,460,580,80439200
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
